,dose_bins,coverage
0,0.0,100.0
1,0.1,90.80528982708083
2,0.2,85.47228975891295
3,0.30000000000000004,80.93458156286214
4,0.4,78.14765161671477
5,0.5,76.25258469858439
6,0.6000000000000001,74.72903269785725
7,0.7000000000000001,73.47701606489582
8,0.8,72.42609466245541
9,0.9,71.51264514076667
10,1.0,70.73439523733782
11,1.1,70.08907268967711
12,1.2000000000000002,69.57440523529279
13,1.3,69.19720966166012
14,1.4000000000000001,68.83364766297802
15,1.5,68.60528528255584
16,1.6,68.48599150173828
17,1.7000000000000002,68.47235792678771
18,1.8,68.43145720193597
19,1.9000000000000001,68.05426162830331
20,2.0,67.69978867958827
21,2.1,67.54754709264013
22,2.2,67.51232702401782
23,2.3000000000000003,67.42825331182259
24,2.4000000000000004,67.25896975618623
25,2.5,67.11127269422164
26,2.6,67.02606285078052
27,2.7,66.96471176350292
28,2.8000000000000003,66.91926651366767
29,2.9000000000000004,66.88177418255357
30,3.0,66.7999727328501
31,3.1,66.56365743370675
32,3.2,66.29212206594106
33,3.3000000000000003,66.0558067667977
34,3.4000000000000004,65.80017723647435
35,3.5,65.55022836238042
36,3.6,65.27869299461474
37,3.7,64.96284850825967
38,3.8000000000000003,64.76516167147629
39,3.9000000000000004,64.58678906587288
40,4.0,64.41636937899065
41,4.1000000000000005,64.26185552955077
42,4.2,64.10847781135676
43,4.3,63.93805812447454
44,4.4,63.758549387625266
45,4.5,63.57904065077597
46,4.6000000000000005,63.393851257697285
47,4.7,63.18593923970097
48,4.800000000000001,62.97234656547525
49,4.9,62.7598900224954
50,5.0,62.537208298302616
51,5.1000000000000005,62.316798836601606
52,5.2,62.09866163739235
53,5.300000000000001,61.87825217569134
54,5.4,61.67261242018678
55,5.5,61.46015587720694
56,5.6000000000000005,61.26701356540708
57,5.7,61.070462859869565
58,5.800000000000001,60.89436251675794
59,5.9,60.70122020495808
60,6.0,60.5148946806335
61,6.1000000000000005,60.33311368129246
62,6.2,60.15360494444318
63,6.300000000000001,59.95819037015156
64,6.4,59.76050353336817
65,6.5,59.55145538412597
66,6.6000000000000005,59.33786270990025
67,6.7,59.127678429412164
68,6.800000000000001,58.91522188643232
69,6.9,58.69822081846895
70,7.0,58.47667522552206
