,dose_bins,coverage
0,0.0,100.0
1,0.1,100.0
2,0.2,100.0
3,0.30000000000000004,100.0
4,0.4,100.0
5,0.5,100.0
6,0.6000000000000001,100.0
7,0.7000000000000001,100.0
8,0.8,100.0
9,0.9,100.0
10,1.0,100.0
11,1.1,100.0
12,1.2000000000000002,100.0
13,1.3,100.0
14,1.4000000000000001,100.0
15,1.5,100.0
16,1.6,100.0
17,1.7000000000000002,100.0
18,1.8,100.0
19,1.9000000000000001,100.0
20,2.0,100.0
21,2.1,100.0
22,2.2,100.0
23,2.3000000000000003,100.0
24,2.4000000000000004,100.0
25,2.5,100.0
26,2.6,100.0
27,2.7,100.0
28,2.8000000000000003,100.0
29,2.9000000000000004,100.0
30,3.0,100.0
31,3.1,100.0
32,3.2,100.0
33,3.3000000000000003,100.0
34,3.4000000000000004,100.0
35,3.5,100.0
36,3.6,100.0
37,3.7,100.0
38,3.8000000000000003,100.0
39,3.9000000000000004,100.0
40,4.0,100.0
41,4.1000000000000005,100.0
42,4.2,100.0
43,4.3,100.0
44,4.4,100.0
45,4.5,100.0
46,4.6000000000000005,100.0
47,4.7,100.0
48,4.800000000000001,100.0
49,4.9,100.0
50,5.0,100.0
51,5.1000000000000005,100.0
52,5.2,100.0
53,5.300000000000001,100.0
54,5.4,100.0
55,5.5,100.0
56,5.6000000000000005,100.0
57,5.7,99.99477956722612
58,5.800000000000001,99.99216935083919
59,5.9,99.97911826890449
60,6.0,99.96084675419593
61,6.1000000000000005,99.95040588864816
62,6.2,99.92430372477878
63,6.300000000000001,99.89037091174858
64,6.4,99.8512176659445
65,6.5,99.80945420375349
66,6.6000000000000005,99.75202944324084
67,6.7,99.68938424995432
68,6.800000000000001,99.6267390566678
69,6.9,99.54321213228576
70,7.0,99.47273628983842
71,7.1000000000000005,99.39965023100416
72,7.2,99.32395395578294
73,7.300000000000001,99.25347811333559
74,7.4,99.16995118895356
75,7.5,99.09686513011928
76,7.6000000000000005,98.98984625825481
77,7.7,98.87499673722951
78,7.800000000000001,98.78363916368667
79,7.9,98.64268747879198
80,8.0,98.52522774137977
81,8.1,98.42864973506303
82,8.200000000000001,98.28247761739448
83,8.3,98.15979744720838
84,8.4,98.05799900811778
85,8.5,97.92487797238391
86,8.6,97.79958758581087
87,8.700000000000001,97.70039936310721
88,8.8,97.5777191929211
89,8.9,97.45503902273498
90,9.0,97.34279971809663
91,9.1,97.20967868236276
92,9.200000000000001,97.08177807940278
93,9.3,96.9329957453473
94,9.4,96.81553600793505
95,9.5,96.65631280833182
96,9.600000000000001,96.52319177259795
97,9.700000000000001,96.31437446164287
98,9.8,96.10555715068779
99,9.9,95.90979092166741
100,10.0,95.65659993213438
101,10.100000000000001,95.38774764427971
102,10.200000000000001,95.05363994675159
103,10.3,94.7900080916708
104,10.4,94.40369606640391
105,10.5,94.01216360836312
106,10.600000000000001,93.63890266503093
107,10.700000000000001,93.21343739395996
108,10.8,92.76448017540653
109,10.9,92.27897992743598
110,11.0,91.69429145676176
111,11.100000000000001,91.1539766646655
112,11.200000000000001,90.52752473180027
113,11.3,89.89063193338728
114,11.4,89.2276369711049
115,11.5,88.52026833024458
