,dose_bins,coverage
0,0.0,100.0
1,0.1,97.55760748588152
2,0.2,97.44836967723319
3,0.30000000000000004,97.34462811052943
4,0.4,97.28966569108373
5,0.5,97.22027563653351
6,0.6000000000000001,97.16943539854624
7,0.7000000000000001,97.10554158594061
8,0.8,97.05951055965484
9,0.9,96.92760075298514
10,1.0,96.63011665773527
11,1.1,96.13339379199472
12,1.2000000000000002,95.54666996441183
13,1.3,95.00048092117015
14,1.4000000000000001,94.52436896272174
15,1.5,94.05512730670405
16,1.6,93.68413097544554
17,1.7000000000000002,93.33443258172225
18,1.8,93.03763551671544
19,1.9000000000000001,92.77862511507756
20,2.0,92.48388914079997
21,2.1,92.24548964645423
22,2.2,92.03594542231748
23,2.3000000000000003,91.85319537766053
24,2.4000000000000004,91.69174327053878
25,2.5,91.50555807466645
26,2.6,91.29944900174506
27,2.7,91.09402695906674
28,2.8000000000000003,90.9415062451049
29,2.9000000000000004,90.81303158965058
30,3.0,90.6398999683966
31,3.1,90.48463113346249
32,3.2,90.31905684488231
33,3.3000000000000003,90.1610398889759
34,3.4000000000000004,89.95974002775601
35,3.5,89.77630295285599
36,3.6,89.57294200090688
37,3.7,89.36133668604091
38,3.8000000000000003,89.16965524822402
39,3.9000000000000004,88.97522568943485
40,4.0,88.76911661651346
41,4.1000000000000005,88.58293142064113
42,4.2,88.38644077112275
43,4.3,88.19407230306278
44,4.4,87.99895571403053
45,4.5,87.79834288305372
46,4.6000000000000005,87.60803550572295
47,4.7,87.39711722110007
48,4.800000000000001,87.1786416038034
49,4.9,86.96291410747901
50,5.0,86.73825521799469
51,5.1000000000000005,86.50260384462123
52,5.2,86.26076919906014
53,5.300000000000001,85.99763661596384
54,5.4,85.7063357929016
55,5.5,85.40129436497794
56,5.6000000000000005,85.04747378979623
57,5.7,84.67510339805159
58,5.800000000000001,84.28006100828559
59,5.9,83.88227049754731
60,6.0,83.46455610975994
61,6.1000000000000005,83.06539153853552
62,6.2,82.62912733418524
63,6.300000000000001,82.20110749275183
64,6.4,81.75316377426934
65,6.5,81.32445690259286
66,6.6000000000000005,80.8758261538673
67,6.7,80.46566909875372
68,6.800000000000001,80.00535883589596
69,6.9,79.59176662956703
70,7.0,79.16305975789054
71,7.1000000000000005,78.74259724913091
72,7.2,78.3070200750237
73,7.300000000000001,77.88999271747943
74,7.4,77.46540802726136
75,7.5,77.03395303461258
76,7.6000000000000005,76.61898676779751
77,7.7,76.2150129848716
78,7.800000000000001,75.79317641562582
79,7.9,75.39332481415832
80,8.0,74.97629745661403
81,8.1,74.55652197809748
82,8.200000000000001,74.13880759031014
83,8.3,73.73345974689805
84,8.4,73.30750099619385
85,8.5,72.89871800156644
86,8.6,72.48581282548058
87,8.700000000000001,72.07222061915165
88,8.8,71.65107108014895
